2025-10-25 11:29:23,112 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:23,113 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:23,113 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:23,113 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:23,113 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:23,327 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:23,327 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:23,328 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:23,328 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:23,328 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:23,531 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:23,531 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:23,532 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:23,533 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:23,534 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:23,719 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:23,720 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:23,720 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:23,721 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:23,722 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:23,905 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:23,906 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:23,906 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:23,907 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:23,907 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,091 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,091 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,091 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,091 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,091 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,294 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,294 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,295 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,295 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,295 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,448 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,449 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,449 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,449 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,449 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,688 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,688 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,689 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,689 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,689 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,875 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,875 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,875 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,875 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,875 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:24,964 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:24,964 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:24,965 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:24,965 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:24,965 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,197 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:25,198 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:25,198 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:25,198 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:25,198 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,355 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:25,356 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:25,356 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:25,356 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:25,356 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,489 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:25,490 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:25,491 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:25,491 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:25,492 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,680 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:25,680 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:25,681 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:25,682 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:25,683 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,683 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:25,683 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:25,868 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:25,869 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:25,869 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:25,869 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:25,869 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:25,870 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:25,870 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:26,072 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,072 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,072 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,267 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,267 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,418 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,418 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,418 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,419 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,419 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,419 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,525 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,526 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,526 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,526 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,527 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,527 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,652 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,653 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,653 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,653 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,654 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,654 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:26,793 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:26,794 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:26,794 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:26,795 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:26,795 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:26,795 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,055 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,056 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,056 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,056 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,057 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,057 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,268 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,269 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,269 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,269 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,269 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,435 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,435 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,435 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,435 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,436 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,436 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,561 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,562 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,562 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,563 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,563 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,563 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,844 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,844 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,845 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,845 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,845 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,845 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:27,954 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:27,955 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:27,955 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:27,955 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:27,955 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:27,955 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:28,068 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:28,069 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:28,069 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:28,070 - WARNING - PHASE 1 IGNORED QR - ID: QR-7, Data: right
2025-10-25 11:29:28,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
2025-10-25 11:29:28,071 - WARNING - PHASE 1 IGNORED QR - ID: QR-9, Data: right
2025-10-25 11:29:28,187 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:28,188 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:28,188 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:28,189 - WARNING - PHASE 1 IGNORED QR - ID: QR-8, Data: right
